commentNum,href,id,image,introduce,name,quote,star
306373,https://movie.douban.com/subject/1291572/,51,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,none,9.0
343008,https://movie.douban.com/subject/1291571/,52,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,none,8.9
234777,https://movie.douban.com/subject/1291818/,53,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/台湾美国/剧情家庭,饮食男女,none,9.1
551596,https://movie.douban.com/subject/26387939/,54,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...2016/印度/剧情传记运动家庭,摔跤吧！爸爸,none,9.1
425382,https://movie.douban.com/subject/1292220/,55,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情,情书,none,8.8
198269,https://movie.douban.com/subject/1292262/,56,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/意大利美国/犯罪剧情,美国往事,none,9.1
320666,https://movie.douban.com/subject/1301753/,57,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/剧情动画冒险歌舞家庭,狮子王,none,8.9
227610,https://movie.douban.com/subject/1296736/,58,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,none,9.0
217052,https://movie.douban.com/subject/21937452/,59,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013/韩国/剧情,素媛,none,9.1
535045,https://movie.douban.com/subject/1292215/,60,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...2001/法国德国/喜剧爱情,天使爱美丽,none,8.7
160865,https://movie.douban.com/subject/1303021/,61,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg,导演:马基德·马基迪MajidMajidi主演:AmirFarrokhHashemian/默罕...1997/伊朗/剧情家庭儿童,小鞋子,none,9.2
481975,https://movie.douban.com/subject/1292223/,62,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...1995/美国/剧情犯罪悬疑惊悚,七宗罪,none,8.7
335380,https://movie.douban.com/subject/1787291/,63,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...2006/日本/剧情歌舞,被嫌弃的松子的一生,none,8.9
388722,https://movie.douban.com/subject/1780330/,64,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006/美国英国/剧情悬疑惊悚,致命魔术,none,8.8
441245,https://movie.douban.com/subject/1485260/,65,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,none,8.8
259225,https://movie.douban.com/subject/1294408/,66,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,导演:RobertWise主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...1965/美国/剧情传记爱情歌舞,音乐之声,none,8.9
323124,https://movie.douban.com/subject/1294639/,67,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...1995/美国/动作传记剧情历史战争,勇敢的心,none,8.8
403357,https://movie.douban.com/subject/1292402/,68,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色,西西里的美丽传说,none,8.8
540148,https://movie.douban.com/subject/1292370/,69,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,导演:TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...1990/美国/剧情奇幻爱情,剪刀手爱德华,none,8.7
319051,https://movie.douban.com/subject/1291843/,70,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国澳大利亚/动作科幻,黑客帝国,none,8.8
